Player,OPP,MP,FGAVG,FGAAVG,FG%AVG,3PAVG,3PAAVG,3P%AVG,FTAVG,FTAAVG,FT%AVG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,+/-,Bucket
Gilgeous-Alexander,LAL,34:18,12,17.50,0.69,0.5,3.5,0.1665,9.5,10,0.9585,0,3,3,6,1,1,3,3,16.9,-12,5.00
Gilgeous-Alexander,LAC,33:44,11,19.50,0.56,0.5,5,0.0835,8,8.5,0.9585,1,1,2,4,0,2,2,4,11.4,-19,4.00
Gilgeous-Alexander,UTA,34:41,7.5,17.50,0.42,0.5,4.5,0.0835,6,6.5,0.9375,1,5,6,6,1,1,4,4,25.4,-1,7.00
Gilgeous-Alexander,MIN,37:10,7,15.50,0.45,0,2,0,11,12.5,0.8785,1,1,2,6,2,0,2,0,26.4,+14,7.00
Gilgeous-Alexander,POR,35:05,9,18.50,0.49,0.5,1.5,0.25,13.5,15,0.9025,2,4,6,10,5,0,3,3,29.0,+17,7.00
Gilgeous-Alexander,SAS,29:28,10,23.00,0.44,0.5,2.5,0.25,12.5,15,0.844,2,4,6,10,2,1,4,3,32.2,+20,7.00
Gilgeous-Alexander,NOP,31:32,9.5,19.50,0.51,1,2.5,0.5,12.5,14.5,0.8825,0,4,4,5,2,1,4,0,23.3,+12,7.00
Gilgeous-Alexander,DET,29:14,9.5,18.00,0.54,2.5,5,0.6875,10,10.5,0.9445,3,2,5,4,1,0,3,3,24.1,-6,7.00
Gilgeous-Alexander,MIN,38:54,11.5,20.50,0.56,2,4.5,0.6875,6,7,0.8445,2,5,7,8,2,0,4,2,33.7,+5,8.00
Gilgeous-Alexander,DEN,35:33,11.5,19.00,0.60,1.5,2,0.8335,9.5,10.5,0.869,1,6,7,5,1,2,2,4,27.0,-1,7.00
Gilgeous-Alexander,CHO,29:53,10,20.00,0.51,2,3,0.667,13.5,14.5,0.9305,0,3,3,9,5,3,3,2,34.6,+34,7.00
Gilgeous-Alexander,TOR,47:53,10.5,18.50,0.59,1.5,2,0.8335,10,11.5,0.8615,1,8,9,14,2,3,2,5,27.7,+7,5.00
Gilgeous-Alexander,UTA,36:03,10,16.00,0.63,1.5,3,0.7,5.5,6.5,0.9,1,3,4,7,1,1,2,1,22.4,-3,6.00
Gilgeous-Alexander,DAL,28:53,10,19.50,0.51,2,4,0.5335,3.5,4,0.9,2,4,6,5,0,1,3,1,20.4,-31,5.00
Gilgeous-Alexander,SAC,38:48,10,19.00,0.53,1,1.5,0.3335,5.5,6.5,0.8375,0,3,3,7,1,2,1,0,31.4,+16,8.00
Gilgeous-Alexander,ORL,34:17,12,21.00,0.57,1.5,2,0.375,6,8.5,0.7155,0,3,3,5,2,1,1,5,23.3,0,7.00
Gilgeous-Alexander,LAC,34:33,13,25.00,0.52,2,2.5,0.875,7,9.5,0.728,0,4,4,8,1,2,2,1,28.5,+21,7.00
Gilgeous-Alexander,WAS,29:39,11.5,21.50,0.55,2,3.5,0.75,6.5,8,0.7835,0,7,7,9,1,1,1,3,30.0,+38,6.00
Gilgeous-Alexander,HOU,36:35,11,18.00,0.61,2,4.5,0.4165,6.5,7.5,0.8335,0,5,5,7,3,1,4,2,30.0,+17,8.00
Gilgeous-Alexander,HOU,31:51,11.5,20.00,0.58,1.5,3,0.5,8.5,9,0.9445,2,6,8,3,1,0,2,2,23.8,+6,7.00
Gilgeous-Alexander,SAS,34:49,12,22.00,0.54,3,4.5,0.667,6.5,7.5,0.861,1,5,6,3,1,1,1,4,23.4,-7,7.00
Gilgeous-Alexander,PHO,38:18,11.5,21.50,0.53,2.5,3.5,0.8335,5.5,6.5,0.845,0,8,8,9,3,3,1,4,32.5,+13,7.00
Gilgeous-Alexander,LAL,29:36,13.5,24.50,0.55,0.5,3,0.5,5.5,7,0.7855,2,5,7,4,4,2,4,3,18.8,-9,4.00
Gilgeous-Alexander,POR,35:57,10,20.00,0.47,0.5,3.5,0.25,7,8,0.857,0,3,3,5,1,1,4,2,27.0,+3,8.00
Gilgeous-Alexander,MIA,35:41,9,18.00,0.48,0.5,2.5,0.25,10,10.5,0.9585,0,5,5,6,1,2,1,2,30.2,+17,8.00
Gilgeous-Alexander,MEM,27:18,13,24.00,0.54,1,5,0.143,10,11.5,0.8675,0,2,2,6,0,0,1,2,19.4,+29,5.00
Gilgeous-Alexander,IND,36:58,10.5,19.50,0.55,3.5,7,0.5,5.5,6.5,0.909,2,8,10,5,2,1,4,4,19.9,-9,6.00
Gilgeous-Alexander,DAL,37:08,10,20.50,0.51,3,7,0.4285,3.5,4,0.9165,1,8,9,5,2,0,1,2,29.0,+16,7.00
Gilgeous-Alexander,MEM,35:03,10.5,21.50,0.50,1,5.5,0.1965,8.5,10.5,0.8165,1,6,7,3,0,1,3,2,12.3,+7,4.00
Gilgeous-Alexander,UTA,33:10,8.5,16.00,0.53,1,4,0.25,7.5,10.5,0.65,1,2,3,7,4,0,1,3,28.0,+5,7.00
Gilgeous-Alexander,TOR,33:21,10,19.00,0.52,1.5,4,0.375,4,6,0.6665,1,6,7,8,3,1,6,4,16.0,+7,5.00
Antetokounmpo,PHI,35:07,,,,,,,,,,4,8,12,3,2,2,7,4,12.0,-13.00,5.00
Antetokounmpo,ATL,29:28,,,,,,,,,,5,6,11,3,1,2,3,2,25.0,-11,6.00
Antetokounmpo,MIA,31:51,9.50,17.50,0.56,0.00,2.00,0.00,5.50,9.50,0.57,1,6,7,2,0,1,2,3,23.3,+18,7.00
Antetokounmpo,TOR,27:41,10.50,17.50,0.61,0.50,2.00,0.17,8.00,10.50,0.76,3,1,4,2,1,0,3,3,9.7,-10,4.00
Antetokounmpo,NYK,35:47,8.50,16.00,0.51,0.50,1.50,0.17,7.00,10.00,0.70,1,7,8,6,0,1,7,3,14.5,+13,5.00
Antetokounmpo,BRK,35:15,5.50,10.50,0.53,1.50,1.50,0.50,6.50,11.00,0.60,2,10,12,3,1,2,3,1,28.2,+15,8.00
Antetokounmpo,DET,21:52,10.50,18.50,0.58,2.00,5.00,0.57,6.00,9.50,0.69,0,9,9,5,0,3,1,1,11.9,+5,3.00
Antetokounmpo,IND,36:29,10.50,21.50,0.47,0.50,4.50,0.07,4.00,6.00,0.67,2,10,12,3,0,0,8,4,40.2,+6,10.00
Antetokounmpo,ORL,36:39,12.50,20.50,0.57,0.00,1.50,0.00,9.50,12.00,0.69,2,8,10,7,4,2,6,4,29.3,-11,7.00
Antetokounmpo,CHI,34:42,17.00,23.50,0.72,0.00,1.00,0.00,10.50,15.00,0.65,3,8,11,2,0,0,3,4,23.7,+13,7.00
Antetokounmpo,CHO,28:10,14.00,22.00,0.64,0.50,2.00,0.17,6.50,13.00,0.49,0,8,8,9,1,0,4,5,13.9,+6,4.00
Antetokounmpo,DAL,37:51,9.50,16.00,0.60,0.50,1.50,0.17,6.00,10.50,0.57,2,13,15,7,2,1,3,3,36.9,-7,8.00
Antetokounmpo,WAS,33:54,12.00,18.00,0.65,0.50,1.50,0.17,3.50,6.00,0.59,6,7,13,8,1,1,5,2,40.1,+10,9.00
Antetokounmpo,BOS,36:30,19.00,24.50,0.78,0.50,1.50,0.17,2.50,5.50,0.47,3,10,13,5,2,0,3,4,14.6,+6,5.00
Antetokounmpo,WAS,37:13,13.50,21.50,0.61,0.00,1.50,0.00,4.50,8.00,0.52,3,6,9,3,3,1,3,2,26.8,-10,7.00
Antetokounmpo,POR,38:49,9.00,19.50,0.46,0.00,1.50,0.00,8.00,11.00,0.73,6,10,16,6,1,3,4,5,28.4,+9,7.00
Antetokounmpo,MIA,39:30,11.00,20.00,0.55,0.00,0.50,0.00,10.00,15.00,0.68,2,8,10,5,3,1,4,3,30.8,+18,7.00
Antetokounmpo,CHI,38:52,11.00,18.50,0.61,0.50,1.50,0.25,10.50,15.50,0.69,6,8,14,5,2,5,5,5,27.1,-8,6.00
Antetokounmpo,ATL,36:19,11.00,16.50,0.67,0.50,1.50,0.25,7.00,8.50,0.88,2,9,11,10,2,1,5,1,31.6,+8,7.00
Antetokounmpo,NYK,33:49,12.50,18.50,0.67,0.00,1.00,0.00,4.00,4.50,0.90,3,5,8,10,3,0,4,3,32.0,+19,7.00
Antetokounmpo,IND,40:30,14.50,21.00,0.69,0.50,1.00,0.50,4.00,7.00,0.62,1,9,10,2,0,2,1,3,32.1,-5,8.00
Antetokounmpo,CHI,40:57,14.00,20.50,0.68,0.50,1.00,0.50,7.50,11.00,0.65,1,11,12,6,2,0,2,2,32.3,+13,7.00
Antetokounmpo,IND,37:13,11.00,16.00,0.69,0.00,0.50,0.00,12.50,15.50,0.81,3,11,14,3,4,1,4,1,57.0,+29,10.00
Antetokounmpo,DET,25:47,14.50,20.50,0.70,0.00,1.50,0.00,19.00,25.00,0.76,1,7,8,6,1,0,0,1,24.1,+22,5.00
Antetokounmpo,HOU,39:10,13.50,18.50,0.75,0.00,1.50,0.00,16.00,22.50,0.68,6,11,17,3,0,0,6,3,14.6,+11,6.00
Antetokounmpo,SAS,33:36,8.50,15.50,0.62,0.50,1.50,0.17,6.50,12.00,0.54,2,12,14,16,2,1,3,1,18.5,+13,3.00
Antetokounmpo,ORL,37:18,7.00,17.00,0.39,0.50,2.50,0.17,4.00,8.50,0.48,2,8,10,6,0,2,5,4,25.1,+9,8.00
Antetokounmpo,NYK,32:21,7.50,18.50,0.39,0.00,2.50,0.00,9.00,12.50,0.64,2,5,7,7,1,1,5,4,22.6,+3,6.00
Antetokounmpo,NYK,38:39,11.00,21.00,0.54,0.00,1.50,0.00,10.50,13.50,0.77,5,8,13,6,1,2,2,4,27.7,-5,7.00
Antetokounmpo,BRK,30:27,12.00,20.50,0.59,0.50,1.00,0.25,5.50,8.50,0.65,2,8,10,8,0,2,2,2,33.6,+8,7.00
Antetokounmpo,CLE,36:34,11.50,18.00,0.69,0.50,1.00,0.25,8.50,13.00,0.63,2,14,16,5,1,0,3,2,30.1,+12,7.00
Antetokounmpo,IND,36:55,12.00,17.00,0.73,0.00,0.50,0.00,9.00,12.00,0.78,3,15,18,11,1,2,4,3,30.7,+3,6.00
Antetokounmpo,IND,35:43,12.50,21.00,0.59,0.00,2.00,0.00,7.00,9.00,0.79,0,11,11,8,3,1,3,2,27.3,-12,6.00
